#Aplicación presupuestaria,Funcional,Economico,Desc. Funcional,Desc. Economico,Proyecto,Desc. Proyecto,Suma Cons. inicial,Suma Modificaciones,Suma Cons. definitiva,Suma O
2009,4518,625,Ponencia de Joventut,Adquisicio mobiliari,920,INVERSIONS MOBILIARI CIJ.,3934.64,-279.95,3654.69,3654.69
2009,4519,120,Promocio d'Us Valencia,Retribucions basiques,,,16250.22,0,16250.22,16250.36
2009,4519,121,Promocio d'Us Valencia,Retribuc. complementaries,,,14013.42,2568.42,16581.84,16101.78
2009,4519,220,Promocio d'Us Valencia,Material de oficina,,,1500,0,1500,805.44
2009,4519,226,Promocio d'Us Valencia,Despeses diverses,,,7000,5337.04,12337.04,8349.93
2009,4519,489,Promocio d'Us Valencia,Altres transferencies,,,1000,0,1000,1000
2009,4520,130,Piscina Municipal,Personal Laboral fixe,,,71439.95,-31449,39990.95,32337.44
2009,4520,131,Piscina Municipal,Personal Laboral eventual,,,0,0,0,7653.51
2009,4520,213,Piscina Municipal,Maquinaria inst i utillat,,,20000,10490.56,30490.56,40757.45
2009,4520,227,Piscina Municipal,Treballs altres empreses,,,48500,11575.53,60075.53,41470.63
2009,4520,622,Piscina Municipal,Edificis i altres constr.,915,CONDICIONAMENT PISCINA M.,10000,10000,20000,9965.11
2009,4521,120,Polisportiu Municipal,Retribucions basiques,,,46798.36,0,46798.36,29581.6
2009,4521,121,Polisportiu Municipal,Retribuc. complementaries,,,71987.03,3445.2,75432.23,46645.98
2009,4521,131,Polisportiu Municipal,Personal Laboral eventual,,,0,0,0,45359.16
2009,4521,212,Polisportiu Municipal,Edificis i altres constru,,,12000,2878.06,14878.06,8008.04
2009,4521,213,Polisportiu Municipal,Maquinaria inst i utillat,,,17000,1649.68,18649.68,8986.95
2009,4521,221,Polisportiu Municipal,Subministres,,,25000,39050.64,64050.64,80583.03
2009,4521,623,Polisportiu Municipal,"Maquinaria, Inst. i Utill",,,0,0,0,0
2009,4521,761,Polisportiu Municipal,A Diputacions i consells,,,0,36000,36000,0
2009,4521,622,Polisportiu Municipal,Edificis i altres constr.,916,DOTACIONS ESPORTIVES MUN.,150000,162102.85,312102.85,77272.17
